recording_mbid,total_listen_count,total_user_count
3c507589-53c7-45b6-8f89-de22e65bb1e6,117.0,57.0
6abfd1f6-46a1-4fd8-82f6-22173036dffd,111.0,44.0
b5fc90cf-7633-47a8-b1bb-649cfaf9dc8e,591.0,197.0
568ef4d7-f688-4383-aa4a-3d1369bb6688,118350.0,14938.0
86497819-5f3b-4d61-b55b-c17e3a85a1a7,783.0,145.0
210c8220-8f62-4e18-ba8e-32495b90a4fe,445.0,141.0
4133fb9a-1705-484b-8155-afdfeaa319b6,340.0,75.0
02e6bdba-811a-4d33-86d5-7afb8e827fac,1690.0,499.0
6a2a064d-b8be-4f01-bc5d-260079598c4d,427.0,139.0
6570fda9-0a5d-45a0-bab5-e4f17bf8902e,132309.0,15678.0
020d8c2b-3dd9-464f-b5fc-a5e5fbcfb18d,232378.0,30376.0
e9d341f6-db41-4dff-ad7a-72d7c6a01567,162.0,27.0
747ff7fd-c7ac-451b-8684-aab57ce9eb75,1.0,1.0
d3e11a6b-e977-4eab-a39d-2c2c13b9eeb6,211.0,51.0
101b0c89-aa3d-47b0-9b6c-e6993ee6d200,203.0,68.0
2dd33dff-0823-41ea-a541-aa46a9b1b3b2,273.0,79.0
6ab85be4-fd35-4e45-baf3-fb9a103408f0,8952.0,2459.0
dfb6a221-2a3f-45b3-8436-b065d413f0f1,107902.0,14579.0
6400b5d7-e258-4853-96a1-0e53ac3d0f96,110.0,42.0
ba51997a-1234-4508-a3dd-6deb82594c44,1834.0,500.0
66f59484-838e-4156-803d-337518ff96d1,1.0,1.0
1d565de7-abc2-4146-b10c-a7584888447d,143688.0,20657.0
c151d559-a232-47cc-b326-cd7cc1bde7a4,490.0,111.0
659c98f8-659f-462a-b024-d0977ad40cc3,585.0,138.0
5974ee49-0e57-4104-9062-6cd291443bf9,36576.0,5793.0
8b253954-ae4c-45ba-be2c-8b4ee4485a3a,1240.0,184.0
cc7246fc-a024-498d-be8d-afd2506a3f82,12.0,5.0
46627895-377a-47be-8b77-3642f6470e57,72.0,19.0
d6cde46d-21f4-428c-9b08-3106b8bd0962,409.0,99.0
9ec21ccb-c885-4366-8bc4-643bffd3f0b7,193.0,53.0
89c72b9a-17ff-4f91-9924-9e745aad99c2,7.0,7.0
2fc6d293-f4f8-4ff8-9e68-8d620883899e,2348.0,482.0
6dceb693-751b-491d-aeb5-f96774acbebb,89.0,53.0
60b01bd9-f799-43f3-a9eb-fd6fb2e3e9e9,49.0,34.0
d39c6430-f908-4b2c-9755-8481b0067c9e,2284.0,728.0
bb80c313-f3b8-4fcf-8f35-47366094cd42,122.0,20.0
a1b4c6fb-0fbf-41af-8ff8-8ea2321a13ce,11583.0,3850.0
a3ec1fb9-d506-4e59-b9a4-860cd0b36c1e,204.0,64.0
ce526c37-10e9-42dc-99fe-9d311d5634e0,171.0,44.0
874578ab-7cdf-4fcd-8949-056e2dc9fb40,198897.0,23259.0
dde51e6b-1518-4ee8-b245-4a1d965f18d4,121803.0,14612.0
02843507-73bb-449f-87fa-9bdcf42968bf,121973.0,13375.0
f2b9549f-6b7c-47af-8e14-07318b54ccfb,7999.0,1531.0
247c03ce-3872-424f-9fce-14c687f514e2,381.0,77.0
619177c1-8458-48cd-817c-0a54c864a0d7,39368.0,4484.0
6b426222-ed94-4e0d-bb45-db357570b2ea,66322.0,9966.0
f2e81261-fd66-4d23-9c39-dc30d733f2ed,7562.0,1078.0
023655fe-a4bb-4a77-86e6-accb0192626f,88.0,20.0
3d392cdb-35cb-4b2c-b651-e1df4289c87d,,
ed7953d2-ad8c-451c-bccb-de9165ae8824,883.0,169.0
c7c7f2d3-2f40-478e-8285-57fc50057025,55.0,16.0
02b48bd0-9aab-4f52-a147-f41a774916b9,5043.0,1007.0
83b68e6a-010c-41ed-8c67-d19cc1c53a6d,925.0,284.0
957f8eb0-fac5-419e-b7a3-612a6698d6e6,90488.0,7935.0
515bda69-4a02-4e0a-8612-abc1d176cbc9,161273.0,22368.0
1c2fd2e6-2bc7-4e61-8fec-13fb88fbca06,970.0,205.0
fbab2c68-c3db-4717-b3aa-13f04526e6a3,1000.0,200.0
6eac5742-4986-4118-b853-8bbb815473af,256.0,41.0
80cefc6f-d666-4fb9-adf3-bdceb8107b61,1813.0,266.0
4fcaaf81-afee-4c7a-be9a-dd53e8b0800a,119.0,50.0
3a8cc67a-36c2-4b1f-9161-eb8219db4ed1,393.0,92.0
660166da-4510-42bd-a4a6-7bdf24df5908,218.0,98.0
836abd8f-2351-496f-89b9-776276e4e8cc,41922.0,5676.0
d07c85da-ee9d-4ec0-b959-c860a42ac9f1,2881.0,822.0
a63b464a-d04e-41f2-957a-3673dad00d4f,30.0,16.0
3bb4e077-1f84-4032-8732-eb64b26ea567,,
cfb4bc3c-31c3-4296-8796-17963a4c2422,1063.0,326.0
ea704a52-dbfb-41b0-a8d4-649d7ccf6f3a,477.0,153.0
d27cb8ce-acc1-45c4-8150-d5428b80a7f4,51.0,31.0
f3144f54-eeeb-4d6c-8ea1-e85ce06fd0bb,79010.0,18231.0
