artist_mbid,total_listen_count,total_user_count
4daeca58-4aa6-4a1c-8d7c-8d38bd128ad1,6543,327
e99f6d62-f62b-4e1e-8593-33d5696d85f0,656548,10452
ac7e838c-3d95-47c2-92a9-81767ad7c217,7094447,192660
3f00a58f-7aaa-4830-a929-a057a3ab003d,28367,1531
851dc999-f177-4a59-9d39-aadb18dafd54,56959,1972
5e75f2e1-3e0d-4f55-93ab-4ff4cb819a0a,32698,2495
02714d30-69c2-4a83-a963-2ffe6eaca39e,20548,569
d662d65c-0e7c-44c7-a4ff-12d4029f990c,91107,3112
2aab5497-8f25-4adf-a1c5-247dd5ac270a,16857,1271
f197a8df-ac2b-4e78-9913-4abf13741f12,1236939,20312
35e07a06-0e27-4fe4-a5c1-11b315f48d04,22389,463
afd55c72-d123-4237-9818-fa3ce634b3dd,98984,4571
f0c8f75f-8736-4b1d-b312-9349fcff321d,9233193,225969
1dcc8968-f2cd-441c-beda-6270f70f2863,4955318,126454
4a8caef2-56e4-4358-a66a-f2346bd7dfa5,94702,4792
